Leg	Site	Hole	Core	Core_type	Section_number	Section_type	Top_cm	Depth_mbsf	Section_id	Density	Run_number	Run_timestamp	Core_status	Liner_status	Requested_daq_interval	Requested_daq_period	Actual_daq_period	Measured_counts	Core_diameter	Calibration_timestamp	Calib_density_m0	Calib_density_m1	Calib_density_mse
208	1262	C	1	H	2	S	77	92	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	38322	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	80	92	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	38494	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	82	92	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	38822	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	85	92	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	39375	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	87	92	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	38714	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	3	S	5	92	388065	1	313	2003-03-28 21:37:00	FULL	FULL	2.5	5	5	38189	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	3	S	7	92	388065	1	313	2003-03-28 21:37:00	FULL	FULL	2.5	5	5	38305	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	3	S	10	92	388065	1	313	2003-03-28 21:37:00	FULL	FULL	2.5	5	5	37853	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	3	S	12	92	388065	1	313	2003-03-28 21:37:00	FULL	FULL	2.5	5	5	37998	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	3	S	15	92	388065	1	313	2003-03-28 21:37:00	FULL	FULL	2.5	5	5	37809	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	3	S	17	92	388065	1	313	2003-03-28 21:37:00	FULL	FULL	2.5	5	5	37354	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	3	S	20	92	388065	1	313	2003-03-28 21:37:00	FULL	FULL	2.5	5	5	37274	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
