"GO_STRUCT_NAME","GO_STRUCT_TYPE","JSON_NAME","CODE","JSON_UNIT","JSON_UNIT_DESCRIPT","JSON_DESCRIPT"
"Sample_grain_density","sql.NullFloat64","Sample_grain_density","@@ *","","","Measurement value of sample grain density."
"Sample_group_abundance","sql.NullString","Sample_group_abundance","*","","","Code for qualitative assessment of fossil group abundance in a sample."
"Sample_id","int64","Sample_id","","","","Identifier (ID) of a sample."
"Sample_lab_code","string","Sample_lab_code","","","","Code identifier for a lab sample."
"Sample_porosity","sql.NullFloat64","Sample_porosity","@@ *","","","Measurement value of porosity."
"Sample_preservation","sql.NullString","Sample_preservation","*","","","Code for qualitative assessment of fossil group preservation in a sample."
"Sample_repository","sql.NullString","Sample_repository","","","","Repository where sample is stored."
"Sample_timestamp","string","Sample_timestamp","","","","Timestamp for when sample was taken."
"Sample_type","string","Sample_type","","","","Type of sample (sediment or mineral) analyzed."
"Sample_void_ratio","sql.NullFloat64","Sample_void_ratio","@@ *","","ratio","Measurement value of sample void ratio."
"Sample_volume","sql.NullFloat64","Sample_volume","#","cc","volume (cc = cm3)","Volume of sample in cc."
"Sample_water_content_bulk","sql.NullFloat64","Sample_water_content_bulk","@@ *","","","Measurement value of bulk sample water content."
"Sample_water_content_solids","sql.NullFloat64","Sample_water_content_solids","@@ *","","","Measurement value of solids sample water content."
"Sample_zone_old","sql.NullString","Sample_zone_old","*","","","Code for oldest possible fossil zone of sample."
"Sample_zone_young","sql.NullString","Sample_zone_young","*","","","Code for youngest possible fossil zone of sample."
"Sc_ppm","sql.NullFloat64","Sc_ppm","*","ppm","parts per million (ppm)","Measurement value of Scandium (Sc) in ppm."
"Scientist_first_name","sql.NullString","Scientist_first_name","","","","First name of a scientist."
"Scientist_id","int64","Scientist_id","","","","Identifier (ID) of a scientist."
"Scientist_initials","sql.NullString","Scientist_initials","","","","Initials of a scientist."
"Scientist_last_name","sql.NullString","Scientist_last_name","--","","","Last name of a scientist."
"Scientist_last_name","string","Scientist_last_name","--","","","Last name of a scientist."
"Section_comment","sql.NullString","Section_comment","","","","Remark on a section of a core."
"Section_id","int64","Section_id","","","","Identifier (ID) of a section of a core."
"Section_number","int64","Section_number","--","","","Sequential number of a section of a core."
"Section_number","sql.NullInt64","Section_number","--","","","Sequential number of a section of a core."
"Section_type","sql.NullString","Section_type","","","","Type of a section (C=Core Catcher, S=Core)."
"Section_type","string","Section_type","","","","Type of a section (C=Core Catcher, S=Core)."
"Shear_strength","sql.NullFloat64","Shear_strength","*","kPa","kilopascal (kPa)","Measurement value of shear strength in kPa units."
"Ship_date_time","sql.NullString","Ship_date_time","","","","Date and time on ship."
